hh_id;internet;car;emergency;holiday;friends;meat;leisure;furniture;clothes;heating;money;shoes
94;1;1;0;1;0;0;0;0;0;0;0;0
230;0;0;0;0;0;0;0;0;0;0;0;0
65889;0;0;0;0;0;0;0;0;0;0;NA;0
523;0;0;0;0;0;0;0;1;0;0;0;0
125466;0;0;0;0;0;0;0;0;0;0;0;0
105600;0;0;0;0;0;0;0;0;0;0;0;0
124737;0;0;0;0;0;0;0;0;0;0;0;0
107727;0;0;1;0;0;0;0;0;0;0;0;0
1015;0;0;1;0;0;0;0;1;0;0;0;0
1228;0;0;1;0;0;0;0;1;0;0;0;0
109207;0;0;1;0;0;0;NA;NA;0;0;0;0
1392;0;0;0;0;0;0;0;0;0;0;0;0
89346;0;0;0;0;0;0;0;1;0;0;0;0
1643;0;0;0;0;0;0;0;0;0;0;0;0
71480;0;1;NA;1;0;0;1;1;0;0;0;0
95010;0;0;0;0;0;0;0;0;0;0;0;0
116491;0;0;0;0;0;0;0;0;0;0;0;0
1767;0;0;0;NA;NA;0;NA;NA;0;0;0;0
1791;0;0;0;1;NA;0;1;0;0;0;0;0
125938;0;0;0;0;0;0;0;NA;0;0;0;0
1880;0;0;0;0;0;0;0;0;0;0;0;0
97055;0;0;0;1;1;0;0;0;0;0;0;0
137669;0;0;1;0;0;0;0;1;0;0;0;0
1929;0;0;0;0;0;0;0;0;0;0;0;0
2232;0;0;0;1;0;0;1;1;0;0;1;0
91910;0;0;0;0;0;0;0;0;0;0;0;0
114502;0;0;0;0;0;0;0;0;0;0;0;0
129097;0;0;1;0;0;0;0;1;0;0;1;0
85960;0;0;0;0;0;0;0;0;0;0;0;0
2267;0;0;0;0;0;0;0;0;0;0;0;0
2399;0;0;0;0;0;0;0;0;0;0;0;0
88315;0;0;0;0;0;0;0;0;0;0;0;0
2437;0;0;0;1;0;0;0;0;0;0;0;0
107573;0;0;0;0;0;0;0;0;0;0;0;0
88072;0;0;0;0;0;0;0;0;0;0;0;0
2755;0;0;0;0;0;0;0;0;0;0;0;0
2887;0;0;0;0;0;0;0;0;0;0;0;0
2933;0;0;0;0;0;0;0;0;0;0;0;0
147559;0;0;0;0;0;0;0;0;0;0;0;0
2941;0;0;0;0;0;0;0;0;0;0;0;0
143030;0;0;0;0;0;0;0;0;0;0;0;0
154571;0;0;0;0;0;0;0;0;0;0;0;0
2976;0;0;0;0;0;0;1;1;1;0;1;0
119644;0;NA;0;NA;0;0;0;NA;0;0;0;0
132578;0;0;0;0;0;0;0;0;0;0;0;0
3190;0;0;0;0;0;0;0;0;0;0;0;0
3204;0;0;0;0;0;0;0;0;0;0;0;0
94587;0;0;1;0;0;0;0;1;0;0;0;0
109029;0;0;0;0;0;0;0;0;0;0;0;0
3565;0;0;0;0;0;0;0;0;0;0;0;0
116017;0;0;0;0;0;0;0;0;0;0;0;0
129305;0;0;0;0;0;0;0;0;0;0;0;0
140210;0;0;0;0;0;0;0;0;0;0;0;0
3573;0;0;0;0;0;0;0;0;0;0;0;0
151718;0;0;0;0;0;0;0;0;0;0;0;0
105031;0;0;1;1;0;0;1;1;1;0;1;0
92215;0;0;0;1;1;0;0;1;0;0;0;0
115185;0;0;0;0;0;0;0;0;0;0;0;0
4472;0;0;0;0;0;0;0;0;0;0;0;0
82180;0;0;0;0;0;0;0;0;0;0;0;0
4731;0;0;0;0;0;0;0;0;0;0;NA;0
60089;0;0;0;0;0;0;0;0;0;0;0;0
4766;0;0;0;1;0;0;0;0;0;0;0;0
117846;0;0;0;1;1;1;1;1;0;0;1;1
130788;0;0;0;0;0;0;0;0;0;0;0;0
138932;0;0;0;0;0;0;0;0;0;0;0;0
76171;0;0;0;0;0;0;0;0;0;0;0;0
5240;0;0;0;0;0;0;0;0;0;0;0;0
149381;0;0;1;1;0;0;0;1;0;0;0;0
5290;0;0;NA;0;0;0;0;0;0;0;0;0
5398;0;0;0;0;0;0;0;1;0;0;0;0
127108;0;0;0;0;0;0;0;0;0;0;0;0
134678;0;0;0;1;0;0;0;0;0;0;0;0
5592;0;0;0;0;0;0;0;0;0;0;0;0
80241;0;0;0;0;0;0;0;0;0;0;0;0
5622;0;0;0;0;0;0;0;0;0;0;0;0
5649;0;0;0;0;0;0;0;0;0;0;0;0
60437;0;0;0;0;0;0;0;0;0;0;0;0
138193;0;0;1;1;1;0;0;0;0;0;0;0
146811;0;1;0;1;0;0;0;0;0;0;0;0
85170;0;0;NA;0;NA;0;0;0;0;0;0;0
91812;0;0;0;0;0;0;0;0;0;0;0;0
100021;0;0;0;0;0;0;0;0;0;0;0;0
129364;0;0;0;0;0;0;0;0;0;0;0;0
6084;0;0;0;0;0;0;0;0;0;0;0;0
6106;0;0;0;0;0;0;0;0;0;0;0;0
6246;0;0;0;0;0;0;0;0;0;0;0;0
149730;0;0;0;0;0;0;0;0;0;0;0;0
6394;0;0;0;0;0;0;0;0;0;0;0;0
6564;0;0;1;1;0;0;0;1;0;0;0;0
80195;0;0;0;0;0;0;0;0;0;0;0;0
6670;0;0;0;0;0;0;0;0;0;0;0;0
91839;0;0;0;0;0;0;0;0;0;0;0;0
6777;0;0;0;0;0;0;0;0;0;0;0;0
6793;1;0;0;1;0;0;0;1;0;0;0;0
6858;0;0;0;0;0;0;0;0;0;0;0;0
6874;0;0;0;0;0;0;0;0;0;0;0;0
91022;0;0;0;0;0;0;0;0;0;0;0;0
127639;0;0;0;0;0;0;0;1;0;0;0;0
7200;NA;0;0;0;0;0;0;NA;NA;0;0;0
7307;0;0;0;0;NA;0;0;0;0;0;0;0
83658;0;0;0;0;0;0;0;0;0;0;0;0
118125;0;0;0;0;0;0;0;0;0;0;0;0
7323;NA;0;0;0;0;0;0;NA;0;0;NA;NA
85979;0;0;0;0;0;0;0;0;0;0;0;0
7366;0;0;NA;1;1;0;1;1;1;0;1;1
70211;0;0;0;0;0;0;0;0;0;0;0;0
79111;0;0;0;0;0;0;0;0;0;0;0;0
158429;0;0;0;NA;NA;0;NA;NA;0;0;0;0
7480;0;1;0;1;0;0;0;1;0;0;0;0
105287;0;0;1;1;0;0;1;1;0;0;0;0
82260;0;0;0;0;0;0;0;0;0;0;0;0
7544;0;0;1;1;0;0;0;1;1;0;1;0
7560;0;0;0;0;0;0;0;0;0;0;0;0
121410;0;0;0;0;0;0;0;0;0;0;0;0
7765;0;0;0;0;0;0;0;0;0;0;0;0
7790;0;0;1;1;0;0;0;0;0;0;1;0
105651;0;0;0;0;0;0;0;0;0;0;0;0
125369;0;0;0;0;0;0;0;0;0;0;0;0
7820;0;0;0;0;0;0;0;0;0;0;0;0
7960;0;0;0;0;0;0;0;0;0;0;0;0
60119;0;0;1;0;0;1;1;1;1;1;1;1
100242;0;0;0;0;0;0;0;0;0;0;0;0
132667;0;0;0;0;0;0;0;0;0;0;0;0
91103;0;0;0;0;0;0;0;0;0;0;0;0
8303;0;0;0;0;0;0;NA;0;0;0;0;0
8419;0;0;0;0;0;0;0;0;0;0;0;0
8486;0;0;0;0;0;0;0;1;0;0;0;0
8494;0;0;0;0;0;0;0;0;0;0;0;0
133418;0;0;0;0;0;0;0;0;0;0;0;0
151513;0;1;0;0;0;0;0;0;0;0;0;0
8567;0;0;1;1;0;0;0;0;0;0;0;0
91960;0;0;0;0;0;0;0;0;0;0;0;0
8605;NA;NA;0;NA;NA;0;NA;NA;NA;0;0;0
109002;0;0;0;0;0;0;0;0;0;0;0;0
8958;0;0;0;0;0;0;0;0;0;0;0;0
8966;0;0;NA;0;0;0;0;0;0;0;0;0
8974;0;0;0;0;0;0;0;0;0;0;0;0
150061;0;1;1;1;1;1;0;0;0;0;0;0
9156;0;0;0;0;0;0;0;0;0;0;0;0
79740;0;0;0;0;NA;0;0;0;0;0;0;0
145718;0;0;0;0;0;0;0;0;0;0;0;0
145726;0;0;0;0;0;0;0;0;0;0;0;0
9385;0;0;0;0;0;0;0;NA;0;0;0;0
91618;0;0;0;1;0;0;1;1;0;0;1;0
97900;0;0;1;1;1;0;NA;1;0;0;0;1
131113;0;0;1;1;0;0;0;0;0;0;0;0
9474;0;0;0;1;0;0;0;1;0;0;0;0
9504;0;0;0;0;0;0;0;1;0;0;0;0
9725;0;0;0;0;0;0;0;0;0;0;0;0
9792;0;0;0;0;0;0;0;0;0;0;0;0
85812;0;0;0;0;0;0;0;0;0;0;0;0
9814;NA;0;1;0;0;0;0;0;0;0;0;0
113425;1;0;1;1;0;0;0;1;0;1;0;0
9954;NA;NA;NA;NA;0;0;0;NA;NA;0;NA;0
106143;0;0;0;1;0;0;0;0;0;0;0;0
110302;0;0;0;0;0;0;0;0;0;0;0;0
111015;0;0;0;0;0;0;0;0;0;0;0;0
122033;0;1;0;1;1;0;0;0;0;0;NA;0
10499;0;0;0;0;0;0;0;0;0;0;0;0
10693;0;0;0;0;0;0;0;0;0;0;0;0
10707;0;0;0;0;0;0;0;0;0;0;0;0
100625;0;0;0;0;0;0;0;0;0;0;0;0
130974;0;0;0;0;0;0;0;0;0;0;0;0
65846;0;0;1;1;NA;0;1;1;1;0;1;0
10820;0;0;0;0;0;0;0;0;0;0;0;0
10880;0;0;0;0;0;0;0;0;0;0;0;0
79600;0;0;0;0;0;0;0;0;0;0;0;0
109762;0;0;0;0;0;0;0;0;0;0;0;0
11088;0;0;0;0;0;0;0;0;0;0;0;0
152412;0;0;0;0;0;0;0;0;0;0;0;0
71110;0;1;1;1;0;0;0;0;0;0;0;0
121100;0;0;0;0;0;0;0;0;0;0;0;0
11282;0;0;0;0;0;0;0;0;0;0;0;0
91111;0;0;0;0;0;0;0;0;0;0;0;0
100374;0;0;1;1;0;0;0;0;0;0;0;0
11312;1;0;0;NA;0;0;0;0;0;0;NA;0
11401;0;1;0;0;1;0;0;0;0;0;0;0
11410;0;0;1;0;NA;0;0;0;0;0;0;0
11444;1;1;1;1;1;0;0;0;0;0;0;0
11479;0;0;0;0;0;0;0;0;0;0;0;0
143952;0;0;0;0;0;0;0;0;0;0;0;0
79154;0;0;0;0;0;0;0;0;0;0;0;0
11584;0;0;0;0;0;0;0;0;0;0;0;0
75140;0;0;0;0;0;0;0;0;0;0;0;0
60488;0;0;0;0;0;0;0;0;0;0;0;0
11690;0;0;0;0;NA;0;NA;NA;0;0;0;0
143227;0;0;0;0;0;0;0;0;0;0;0;0
11770;0;0;0;NA;NA;0;0;NA;0;0;NA;0
82910;0;0;0;0;0;0;0;0;0;0;0;0
12262;0;0;1;1;0;0;0;0;0;0;0;0
60992;1;1;0;0;1;0;0;1;0;0;0;0
